koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_duration,koi_depth,koi_teq,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,koi_disposition_CANDIDATE,koi_disposition_CONFIRMED,koi_disposition_FALSE POSITIVE
0,0,0,0,3.57,862.7,366.0,20.9,2.0,q1_q17_dr25_tce,4959.0,4.603,0.756,0,1,0
0,1,1,1,3.0918,1268.1,1010.0,50.5,1.0,q1_q17_dr25_tce,4794.0,4.58,0.701,0,0,1
0,0,0,0,2.6312,875.4,696.0,38.4,1.0,q1_q17_dr25_tce,4768.0,4.536,0.779,0,1,0
0,0,0,0,2.3421,391.8,864.0,22.8,2.0,q1_q17_dr25_tce,4768.0,4.536,0.779,0,1,0
0,1,0,0,2.2757,6044.3,1114.0,269.7,1.0,q1_q17_dr25_tce,6072.0,4.47,0.988,0,0,1
0,0,0,0,2.5211,9768.0,713.0,482.3,1.0,q1_q17_dr25_tce,5386.0,4.553,0.793,0,1,0
0,0,0,0,2.7055,3812.1,1038.0,99.5,1.0,q1_q17_dr25_tce,5815.0,4.54,0.877,0,1,0
0,0,0,0,3.5176,510.6,1121.0,35.9,1.0,q1_q17_dr25_tce,5653.0,4.472,0.949,0,1,0
0,0,0,0,2.9667,1024.4,742.0,54.4,1.0,q1_q17_dr25_tce,5015.0,4.499,0.826,0,1,0
0,0,0,0,4.016,647.5,613.0,25.7,2.0,q1_q17_dr25_tce,5015.0,4.499,0.826,0,1,0
0,0,0,0,2.75,655.9,810.0,24.8,3.0,q1_q17_dr25_tce,5251.0,4.581,0.817,1,0,0
0,0,0,0,3.0957,1149.4,562.0,52.7,1.0,q1_q17_dr25_tce,4702.0,4.592,0.686,0,1,0
0,0,0,0,4.3246,1563.8,397.0,51.7,2.0,q1_q17_dr25_tce,4702.0,4.592,0.686,0,1,0
0,0,0,0,2.8589,2877.4,1234.0,240.6,1.0,q1_q17_dr25_tce,6073.0,4.392,1.135,0,1,0
0,0,0,0,3.0694,2020.3,1151.0,116.1,1.0,q1_q17_dr25_tce,5727.0,4.463,0.978,0,1,0
0,0,0,0,6.271,1187.5,727.0,74.6,1.0,q1_q17_dr25_tce,5878.0,4.444,0.987,0,1,0
0,0,0,0,4.21587,25391.0,554.0,748.1,1.0,q1_q17_dr25_tce,5862.0,4.584,0.785,0,1,0
0,0,0,0,11.195,3604.6,452.0,160.9,1.0,q1_q17_dr25_tce,5510.0,4.222,1.238,0,1,0
0,1,1,0,2.9381,4357.2,954.0,122.1,1.0,q1_q17_dr25_tce,4968.0,4.575,0.704,0,0,1
0,0,0,0,5.9409,269.6,712.0,62.0,1.0,q1_q17_dr25_tce,5718.0,4.181,1.317,0,1,0
0,0,0,0,3.1775,750.6,777.0,49.2,1.0,q1_q17_dr25_tce,5501.0,4.462,0.918,0,1,0
0,0,0,0,3.984,1442.4,613.0,62.6,1.0,q1_q17_dr25_tce,5239.0,4.523,0.826,0,1,0
0,0,0,0,8.2284,20715.0,188.0,271.8,1.0,q1_q17_dr25_tce,4245.0,4.627,0.657,1,0,0
0,0,0,0,2.7297,1123.6,753.0,53.0,1.0,q1_q17_dr25_tce,5103.0,4.562,0.787,0,1,0
0,0,0,0,4.7865,1572.6,445.0,45.5,2.0,q1_q17_dr25_tce,5103.0,4.562,0.787,0,1,0
0,0,0,0,2.2641,812.4,568.0,22.6,4.0,q1_q17_dr25_tce,5103.0,4.562,0.787,0,1,0
0,0,0,0,4.685,1626.0,233.0,27.4,1.0,q1_q17_dr25_tce,3593.0,4.757,0.491,0,1,0
0,0,0,0,5.0264,22839.0,453.0,907.8,1.0,q1_q17_dr25_tce,5522.0,4.586,0.747,0,1,0
0,0,0,0,7.3051,15179.0,552.0,561.1,1.0,q1_q17_dr25_tce,6122.0,4.487,0.964,1,0,0
0,0,0,0,2.5242,908.1,850.0,59.4,1.0,q1_q17_dr25_tce,5237.0,4.572,0.826,0,1,0
0,0,0,0,11.3364,1646.2,669.0,355.7,1.0,q1_q17_dr25_tce,5626.0,3.907,2.057,0,1,0
0,0,0,0,1.611,421.2,559.0,10.7,2.0,q1_q17_dr25_tce,5237.0,4.572,0.826,0,1,0
0,1,0,0,2.594,5732.9,733.0,184.1,1.0,q1_q17_dr25_tce,5697.0,4.46,0.903,0,0,1
0,1,1,1,2.743,1159.8,667.0,51.7,1.0,q1_q17_dr25_tce,4947.0,4.516,0.802,0,0,1
0,0,0,0,1.8119,315.8,1160.0,30.7,1.0,q1_q17_dr25_tce,5265.0,4.58,0.81,0,1,0
0,1,0,0,3.11058,33004.0,901.0,1630.4,1.0,q1_q17_dr25_tce,5532.0,4.53,0.806,0,0,1
0,0,0,0,2.1814,781.2,1221.0,64.8,1.0,q1_q17_dr25_tce,5895.0,4.503,0.94,0,1,0
0,0,0,0,2.7251,1154.0,1038.0,86.1,1.0,q1_q17_dr25_tce,5527.0,4.484,0.927,0,1,0
0,0,0,0,4.556,840.9,622.0,37.8,2.0,q1_q17_dr25_tce,5527.0,4.484,0.927,0,1,0
0,0,0,0,1.6585,569.1,791.0,21.1,3.0,q1_q17_dr25_tce,5527.0,4.484,0.927,0,1,0
0,0,0,0,8.1405,7430.5,366.0,223.5,1.0,q1_q17_dr25_tce,5453.0,4.342,1.062,1,0,0
0,0,0,0,15.284,1141.7,426.0,139.3,2.0,q1_q17_dr25_tce,5626.0,3.907,2.057,0,1,0
0,1,1,0,1.8832,1014.3,1355.0,58.3,1.0,q1_q17_dr25_tce,6126.0,4.458,1.021,0,0,1
0,0,0,0,3.9783,1843.5,562.0,88.0,2.0,q1_q17_dr25_tce,5427.0,4.463,0.929,0,1,0
0,0,0,0,6.3994,3644.3,450.0,155.5,1.0,q1_q17_dr25_tce,5427.0,4.463,0.929,0,1,0
0,0,0,0,2.9003,702.3,926.0,59.3,3.0,q1_q17_dr25_tce,5427.0,4.463,0.929,0,1,0
0,0,0,0,1.8876,391.6,1253.0,41.4,4.0,q1_q17_dr25_tce,5427.0,4.463,0.929,0,1,0
0,0,0,0,4.1072,1772.5,521.0,62.4,1.0,q1_q17_dr25_tce,5067.0,4.585,0.75,0,1,0
0,0,0,0,2.0642,488.2,998.0,30.5,3.0,q1_q17_dr25_tce,5103.0,4.562,0.787,0,1,0
0,0,0,0,2.3254,961.4,585.0,62.8,1.0,q1_q17_dr25_tce,4072.0,4.696,0.57,0,1,0
